Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
60,2.0,0.0,0.0,1394.0,20.0,58.0,3348.0,0.1,24.405000000000005,0.0,0.0,503.2084228992462,,,,,,,,,,,,,,,,,,,,,9.754742503433311,6.6498094758118595,23.886974997821515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,52.0,1.0,52.0,3400.0,0.1,25.306000000000033,0.0,0.0,681.0781264305115,,,,,,,,,,,,,,,,,,,,,7.335915072453644,8.196203342690918,24.974456354485024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,107.0,2.0,55.0,3455.0,0.1,30.00600000000002,0.0,0.0,686.5786969661713,,,,,,,,,,,,,,,,,,,,,10.578494850582612,9.660310854984488,29.483119539176773,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,391.0,3.0,284.0,3739.0,0.1,171.40599999999972,0.0,0.0,711.505229473114,,,,,,,,,,,,,,,,,,,,,71.57882606540261,40.77566328074875,151.38022246212748,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,472.0,4.0,81.0,3820.0,0.1,64.20600000000002,0.0,0.0,718.9351470470428,,,,,,,,,,,,,,,,,,,,,26.199989371298624,20.600343177770018,62.208154962695254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,556.0,5.0,84.0,3904.0,0.1,34.910000000000025,0.0,0.0,726.6649374961853,,,,,,,,,,,,,,,,,,,,,12.763744683360674,9.407497517709142,33.90562278654802,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,637.0,6.0,81.0,3985.0,0.1,44.907000000000004,0.0,0.0,734.3528864383698,,,,,,,,,,,,,,,,,,,,,17.552325886585177,12.834799521660207,43.57236275633655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,661.0,7.0,24.0,4009.0,0.1,11.905999999999995,0.0,0.0,736.9379789829254,,,,,,,,,,,,,,,,,,,,,3.784998169909031,4.223720269338757,11.838825856809947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,695.0,8.0,34.0,4043.0,0.1,15.805999999999994,0.0,0.0,740.4014041423798,,,,,,,,,,,,,,,,,,,,,4.75737774751555,5.251148095158821,15.675584650300426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,722.0,9.0,27.0,4070.0,0.1,11.205999999999994,0.0,0.0,743.2634937763214,,,,,,,,,,,,,,,,,,,,,3.1981724310112503,3.790461873543953,11.141922046533718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,764.0,10.0,42.0,4112.0,0.1,16.108000000000004,0.0,0.0,747.4483432769775,,,,,,,,,,,,,,,,,,,,,4.08298627083477,5.096456875064871,15.96843547914776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,897.0,11.0,133.0,4245.0,0.1,101.406,0.0,0.0,759.6617896556854,,,,,,,,,,,,,,,,,,,,,46.62527134254609,28.68656475106903,95.39553458507696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,951.0,12.0,54.0,4299.0,0.1,37.004999999999995,0.0,0.0,764.8580572605133,,,,,,,,,,,,,,,,,,,,,14.641122576239992,11.792509625181072,36.286916927821764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1025.0,13.0,74.0,4373.0,0.1,45.705,0.0,0.0,771.6973712444305,,,,,,,,,,,,,,,,,,,,,18.265998700847977,13.69701019051146,44.4421559659131,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1058.0,14.0,33.0,4406.0,0.1,19.605000000000015,0.0,0.0,774.9525566101074,,,,,,,,,,,,,,,,,,,,,6.815218682376766,6.78078302862211,19.418916196959294,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1091.0,15.0,33.0,4439.0,0.1,17.107000000000017,0.0,0.0,778.2853384017944,,,,,,,,,,,,,,,,,,,,,5.369924554184494,5.877264686707004,16.963702931872728,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1123.0,16.0,32.0,4471.0,0.1,16.106000000000005,0.0,0.0,781.7574126720428,,,,,,,,,,,,,,,,,,,,,5.086644517289799,5.462816747931684,15.975161723732468,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1156.0,17.0,33.0,4504.0,0.1,19.506000000000014,0.0,0.0,785.1565148830414,,,,,,,,,,,,,,,,,,,,,6.7323429155080525,6.766638465119034,19.322458277885733,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
