Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
47,2.0,0.0,0.0,271.0,7.0,52.0,2385.0,0.1,-9895.016315250026,0.0,0.0,414.4316771030426,,,,,,,,,,,,,,,,,,,,,-4304.40759141529,3245.8280724185483,0.007972055930055972,-9690.558547031947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,296.0,8.0,25.0,2410.0,0.1,-3476.2406997308585,0.0,0.0,417.04442286491394,,,,,,,,,,,,,,,,,,,,,-1251.5596240782493,1222.0870242995222,0.007972055930055972,-3451.851961199341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,348.0,9.0,52.0,2462.0,0.1,-9579.72743583848,0.0,0.0,421.9552466869354,,,,,,,,,,,,,,,,,,,,,-4161.403515650952,3115.3138324425336,0.008964083874125915,-9382.089249434253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,388.0,10.0,40.0,2502.0,0.1,-6448.976949919275,0.0,0.0,426.0992395877838,,,,,,,,,,,,,,,,,,,,,-2683.325103369491,2193.218794258083,0.008964083874125915,-6354.346284006228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,418.0,11.0,30.0,2532.0,0.1,-3858.0470591605335,0.0,0.0,429.21871638298035,,,,,,,,,,,,,,,,,,,,,-1603.7969273875372,1363.0753920570396,0.007972055930055972,-3817.564462699847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,449.0,12.0,31.0,2563.0,0.1,-3504.9714799603785,0.0,0.0,432.4324731826782,,,,,,,,,,,,,,,,,,,,,-1437.7380912805802,1193.9085811703596,0.006979034965020993,-3467.3327973926694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,533.0,13.0,84.0,2647.0,0.1,-10313.014656642514,0.0,0.0,440.0096085071564,,,,,,,,,,,,,,,,,,,,,-4220.5938089414285,2677.2824961401966,0.007972055930055972,-9978.431661582943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,564.0,14.0,31.0,2678.0,0.1,-5307.303501859296,0.0,0.0,443.0463693141937,,,,,,,,,,,,,,,,,,,,,-2099.223497252844,1811.280037125201,0.006979034965020993,-5252.727776269223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,596.0,15.0,32.0,2710.0,0.1,-4697.61185410721,0.0,0.0,446.51086950302124,,,,,,,,,,,,,,,,,,,,,-1957.083012605243,1628.6638371197419,0.007972055930055972,-4644.269091617988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,644.0,16.0,48.0,2758.0,0.1,-7337.44600443911,0.0,0.0,451.0638289451599,,,,,,,,,,,,,,,,,,,,,-3447.5580580470764,2475.479701356117,0.006979034965020993,-7186.328688701565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
